Ticker,Industry,Market Cap,Stock Return %,Profitablity,Leverage,Operating Efficiency,Piotroski Score
TATAMOTORS.NS,Auto Manufacturers,2926306394112,11.325240581168625,2,2,2,6
HEROMOTOCO.NS,Auto Manufacturers,827619999744,4.988762958845847,2,1,2,5
SBIN.NS,Banks - Regional,6882220572672,10.401348635155287,2,2,1,5
AXISBANK.NS,Banks - Regional,3327561302016,8.352016372854552,2,2,1,5
ICICIBANK.NS,Banks - Regional,8921973522432,5.2336300692383775,4,2,0,6
HDFCBANK.NS,Banks - Regional,12958515068928,5.208050522339609,2,2,1,5
DRREDDY.NS,Drug Manufacturers - Specialty & Generic,1141951299584,4.8316614991792814,3,3,1,7
ONGC.NS,Oil & Gas Integrated,3413548466176,12.0406884605462,2,3,1,6
BPCL.NS,Oil & Gas Refining & Marketing,1244284583936,10.707810320781032,2,3,1,6
COALINDIA.NS,Thermal Coal,2343994392576,15.388457999211253,2,3,1,6
NTPC.NS,Utilities - Regulated Electric,3157694611456,6.047940995697603,2,3,1,6
POWERGRID.NS,Utilities - Regulated Electric,2853433507840,5.472036523724117,2,2,1,5
